주차장명,최대주차가능대수,현재주차대수,주차가능대수,주차비율,최종갱신일시,구,상태,수집기록일시,요일,시간
화명역,37,33,4,89.1891891891892,2026-06-26 16:45:00,북구,보통,2026-06-26 16:49:56,Friday,16
학장천 복개,270,170,100,62.96296296296296,2026-06-26 16:45:00,사상구,충분,2026-06-26 16:49:56,Friday,16
수변공원,102,95,7,93.13725490196079,2026-06-26 16:45:00,수영구,보통,2026-06-26 16:49:56,Friday,16
중동역,167,95,72,56.886227544910184,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
미포공영,97,78,19,80.41237113402062,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
온천장역(남측),247,148,99,59.91902834008097,2026-06-26 16:45:00,동래구,충분,2026-06-26 16:49:56,Friday,16
구서역,272,174,98,63.970588235294116,2026-06-26 16:45:00,금정구,충분,2026-06-26 16:49:56,Friday,16
중앙공원,101,66,35,65.34653465346535,2026-06-26 16:45:00,중구,충분,2026-06-26 16:49:56,Friday,16
장전역,190,94,96,49.473684210526315,2026-06-26 16:45:00,금정구,충분,2026-06-26 16:49:56,Friday,16
사상역 광장,0,0,90,0.0,2026-06-26 16:45:00,사상구,충분,2026-06-26 16:49:56,Friday,16
남산역,210,96,114,45.714285714285715,2026-06-26 16:45:00,금정구,충분,2026-06-26 16:49:56,Friday,16
하단역,151,141,10,93.37748344370861,2026-06-26 16:45:00,사하구,충분,2026-06-26 16:49:56,Friday,16
명륜역,185,131,54,70.8108108108108,2026-06-26 16:45:00,동래구,충분,2026-06-26 16:49:56,Friday,16
동래역,400,202,198,50.5,2026-06-26 16:45:00,동래구,충분,2026-06-26 16:49:56,Friday,16
해운대광장,164,164,0,100.0,2026-06-26 16:45:00,해운대구,없음,2026-06-26 16:49:56,Friday,16
롯데 광복점 뒤(2),22,17,5,77.27272727272727,2026-06-26 16:45:00,중구,보통,2026-06-26 16:49:56,Friday,16
반여2배수지,111,38,73,34.234234234234236,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
요트경기장 앞 1구역,231,43,188,18.614718614718615,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
삼락천로,124,95,29,76.61290322580645,2026-06-26 16:45:00,사상구,충분,2026-06-26 16:49:56,Friday,16
부전복개도로1,20,9,11,45.0,2026-06-26 16:45:00,부산진구,충분,2026-06-26 16:49:56,Friday,16
부전복개도로2,23,16,7,69.56521739130434,2026-06-26 16:45:00,부산진구,보통,2026-06-26 16:49:56,Friday,16
적십자회관,31,0,31,0.0,2026-06-26 16:45:00,부산진구,충분,2026-06-26 16:49:56,Friday,16
대연고가밑,46,2,44,4.3478260869565215,2026-06-26 16:45:00,남구,충분,2026-06-26 16:49:56,Friday,16
골드테마거리,16,16,0,100.0,2026-06-26 16:45:00,부산진구,없음,2026-06-26 16:49:56,Friday,16
요트경기장 앞 2구역(대형),68,34,34,50.0,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
수안동주차빌딩,60,47,13,78.33333333333333,2026-06-26 16:45:00,동래구,충분,2026-06-26 16:49:56,Friday,16
구남역,122,58,64,47.540983606557376,2026-06-26 16:45:00,사상구,충분,2026-06-26 16:49:56,Friday,16
만덕2동사앞복개,73,56,17,76.71232876712328,2026-06-26 16:45:00,북구,충분,2026-06-26 16:49:56,Friday,16
